Content,label
"Please be advised that the account, 70Q74033, hasbeen frozen as the attached list of securities will bewithdrawn. Please maintain this freeze through12/31/2020 so it is released on 01/01/2021.Best,Akshay Patel",Terminations
"Good afternoon- can you please advise on the status ofselling the last municipal bond in account 7PW-11809?We submitted the term and sell request a couple ofweeks ago. Thank you!Best,Akshay Patel",Terminations
"Account #: 101-05087 East Accounting LLCInquiry: How long would it take to sell/settle thisentire account? FA is asking because he wasn't sureabout longer settlement times for bonds.Is there a time of day deadline that we need toenter a term/sell?Best,Akshay Patel",Terminations
"Requested Termination on 12-15. How long for the traitto be removed? Do we have to wait until all bonds aresold?Trying to do a Al Enrollment and being blocked becauseor management trait.Best,Akshay Patel",Terminations
"Account #: 531-02106Inquiry: Just a note... understand that muni liquidationscan sometimes take a bit longer than equity accounts.Is there a way to make sure this process is expeditedfor this account? This is a time sensitive transaction fothe client. Thank you for all that you do!Best,Akshay Patel",Terminations
"Can someone please let me know when the strategychange for the below account will be fully approved?Best,Akshay Patel",Terminations
"We have a client that needs to liquidate 11 equityholdings and 4 muni holdings, we were advised that weshould terminate the account and then place the tradeswithin 15 days of account termination which would notcharge the client any commissions. Is there a way wecould have requested everything be sold duringtermination?Best,Akshay Patel",Terminations
"Please approve and release the switch from CustomManaged to PIA/Personalized so we can get sometrades on our side today.Best,Akshay Patel",Terminations
"If possible can we please execute the two terminationsentered in the system ASAP TODAY?Best,Akshay Patel",Terminations
"I am terminating and keeping this account and movingthe bonds to 787-13132 which is AB NY strategy. Pleaseadvise of any issues.Best,Akshay Patel",Terminations
"For account number 7RF-81054 (Frank Ellison IRA), weplaced a termination and liquidate order yesterday. Wesee that the equities have been sold. Would youplease tell us the timeframe for the liquidation of thebonds?Best,Akshay Patel",Terminations
"The above acct was changed from CSTM toPA and has to be traded ASAP. The KDIscreen still shows Firm Discretion - If possible,please expedite the update to No Discretion(ND) as soon as possible so we can trade theaccount.Thanks a lot for your help.Best,Akshay Patel",Terminations
"Team,   Entered a termination in error in the above account. Can you please review?Best,Akshay Pat",Terminations
"We just entered a termination and full liquidation onthe referenced account. It is extremely important thatthe holdings are sold today. Are you able to confirmthat this is able to be done?Best,Akshay Patel",Terminations
"Please process the termination request for 542-49966n/o Binyon.Best,Akshay Patel",Terminations
"Account 859-21847 was terminated on 5/17/21. Canyou please advise whether this was entered as a termand sell or a term and keep?Best,Akshay Patel",Terminations
"Will vou please advise re: how to liquidate the securities held in 81C-25579 and if I submitted the termination request?Best,Akshay Pat",Terminations
