Words,Tags
users,NNS
are,VBP
at,IN
risk,NN
James,NNP
A.,NNP
Talcott,NNP
Boston,NNP
Dana-Farber,NNP
Cancer,NNP
Institute,NNP
Dr.,NNP
led,VBN
team,NN
from,IN
National,NNP
medical,JJ
schools,NNS
Harvard,NNP
University,NNP
spokeswoman,NN
very,RB
modest,JJ
amounts,NNS
making,VBG
paper,NN
for,IN
early,JJ
1950s,CD
replaced,VBN
different,JJ
type,NN
filter,NN
From,IN
1953,CD
1955,CD
9.8,CD
billion,CD
sold,VBN
company,NN
Among,IN
33,CD
men,NNS
worked,VBD
closely,RB
substance,NN
28,CD
died,VBD
--,:
three,CD
times,NNS
expected,VBN
number,NN
Four,CD
five,CD
surviving,VBG
asbestos-related,JJ
diseases,NNS
including,VBG
recently,RB
diagnosed,VBN
total,JJ
18,CD
malignant,JJ
mesothelioma,NN
lung,NN
asbestosis,NN
far,RB
higher,JJR
morbidity,NN
rate,NN
striking,JJ
finding,VBG
those,DT
us,PRP
study,NN
West,NNP
Groton,NNP
Mass.,NNP
factory,NN
appears,VBZ
be,VB
highest,JJS
Western,NNP
industrialized,VBN
countries,NNS
he,PRP
plant,NN
which,WDT
owned,VBN
by,IN
Hollingsworth,NNP
&,CC
Vose,NNP
Co.,NNP
under,IN
contract,NN
probably,RB
support,NN
argue,VBP
U.S.,NNP
should,MD
regulate,VB
class,NN
stringently,RB
common,JJ
kind,NN
chrysotile,NN
found,VBD
most,JJS
other,JJ
buildings,NNS
one,CD
few,JJ
nations,NNS
does,VBZ
n't,RB
standard,JJ
regulation,NN
smooth,JJ
needle-like,JJ
fibers,NNS
such,JJ
classified,VBN
amphobiles,NNS
according,VBG
Brooke,NNP
T.,NNP
Mossman,NNP
professor,NN
pathlogy,NN
Vermont,NNP
College,NNP
More,JJR
curly,JJ
easily,RB
rejected,VBD
body,NN
explained,VBD
In,IN
July,NNP
Environmental,NNP
Protection,NNP
Agency,NNP
imposed,VBN
gradual,JJ
ban,NN
virtually,RB
all,DT
uses,VBZ
By,IN
1997,CD
almost,RB
remaining,VBG
cancer-causing,JJ
outlawed,VBN
About,IN
160,CD
made,VBN
Areas,NNS
particularly,RB
dusty,JJ
where,WRB
Workers,NNPS
dumped,VBD
large,JJ
burlap,NN
sacks,NNS
imported,VBN
material,NN
into,IN
huge,JJ
bin,NN
poured,VBD
cotton,NN
acetate,NN
mechanically,RB
mixed,JJ
dry,JJ
process,NN
described,VBD
clouds,NNS
blue,JJ
dust,NN
hung,VBD
over,IN
parts,NNS
though,IN
exhaust,NN
fans,NNS
ventilated,VBD
area,NN
question,NN
some,DT
managers,NNS
contracted,VBD
Darrell,NNP
Phillips,NNP
vice,NN
president,NN
human,JJ
resources,NNS
But,CC
you,PRP
recognize,VB
these,DT
events,NNS
took,VBD
place,NN
35,CD
It,PRP
bearing,NN
work,NN
force,NN
Yields,NNS
money-market,JJ
mutual,JJ
funds,NNS
continued,VBD
slide,NN
amid,IN
signs,NNS
portfolio,NN
expect,VBP
further,JJ
declines,NNS
interest,NN
rates,NNS
average,JJ
seven-day,JJ
compound,NN
yield,VB
400,CD
taxable,JJ
tracked,VBN
IBC,NNP
Money,NNP
Fund,NNP
Report,NNP
eased,VBD
fraction,NN
point,NN
8.45,CD
%,NN
8.47,CD
week,NN
ended,VBD
Tuesday,NNP
Compound,NN
yields,NNS
assume,VB
reinvestment,NN
dividends,NNS
current,JJ
continues,VBZ
Average,NNP
maturity,NN
',POS
investments,NNS
lengthened,VBN
day,NN
41,CD
days,NNS
longest,JJS
since,IN
August,NNP
Donoghue,NNP
Longer,JJR
maturities,NNS
thought,VBD
indicate,VBP
declining,VBG
because,IN
they,PRP
permit,VB
retain,VB
relatively,RB
longer,RB
period,NN
Shorter,JJR
considered,VBN
sign,NN
rising,VBG
can,MD
capture,VB
sooner,RBR
open,JJ
only,RB
institutions,NNS
stronger,JJR
indicator,NN
watch,VB
market,NN
reached,VBN
Nevertheless,RB
Brenda,NNP
Malizia,NNP
Negus,NNP
editor,NN
may,MD
blip,NN
again,RB
down,RB
recent,JJ
rises,NNS
short-term,JJ
six-month,JJ
Treasury,NNP
bills,NNS
Monday,NNP
auction,NN
example,NN
rose,VBD
8.04,CD
7.90,CD
Despite,IN
investors,NNS
continue,VB
pour,VB
cash,NN
money,NN
Assets,NNS
grew,VBD
$,$
1.5,CD
during,IN
352.7,CD
Typically,RB
money-fund,NN
beat,VB
comparable,JJ
vary,VBP
go,VB
after,IN
top,JJ
currently,RB
yielding,VBG
well,RB
9,CD
Dreyfus,NNP
World-Wide,NNP
Dollar,NN
top-yielding,JJ
fund,NN
had,VBD
9.37,CD
9.45,CD
earlier,RBR
invests,VBZ
heavily,RB
dollar-denominated,JJ
securities,NNS
overseas,JJ
waiving,VBG
management,NN
fees,NNS
boosts,VBZ
simple,JJ
8.12,CD
8.14,CD
30-day,JJ
fell,VBD
8.19,CD
8.22,CD
;,:
slid,VBD
8.53,CD
8.56,CD
J.P.,NNP
Bolduc,NNP
W.R.,NNP
Grace,NNP
holds,VBZ
83.4,CD
energy-services,JJ
elected,VBN
He,PRP
succeeds,VBZ
Terrence,NNP
D.,NNP
Daniels,NNP
formerly,RB
resigned,VBD
Energy,NNP
seven,CD
seats,NNS
Pacific,NNP
First,NNP
Financial,NNP
shareholders,NNS
approved,VBD
acquisition,NN
Royal,NNP
Trustco,NNP
Ltd.,NNP
Toronto,NNP
27,CD
share,NN
or,CC
212,CD
million,CD
thrift,NN
holding,VBG
expects,VBZ
obtain,VB
regulatory,JJ
approval,NN
complete,JJ
transaction,NN
year-end,NN
McDermott,NNP
International,NNP
Babcock,NNP
Wilcox,NNP
completed,VBN
sale,NN
Bailey,NNP
Controls,NNP
Operations,NNP
Finmeccanica,NNP
S.p,NNP
295,CD
Italian,JJ
state-owned,JJ
interests,NNS
mechanical,JJ
engineering,NN
industry,NN
based,VBN
Wickliffe,NNP
Ohio,NNP
computerized,JJ
controls,NNS
systems,NNS
employs,VBZ
"2,700",CD
people,NNS
annual,JJ
revenue,NN
370,CD
federal,JJ
government,NN
suspended,VBN
sales,NNS
savings,NNS
bonds,NNS
Congress,NNP
lifted,VBN
ceiling,NN
debt,NN
Until,IN
acts,NNS
authority,NN
issue,NN
obligations,NNS
borrowing,NN
dropped,VBD
midnight,NN
2.80,CD
trillion,CD
2.87,CD
Legislation,NN
lift,VB
ensnarled,VBN
fight,NN
cutting,VBG
capital-gains,NNS
taxes,NNS
House,NNP
voted,VBD
raise,VB
3.1,CD
but,CC
Senate,NNP
act,NN
until,IN
next,JJ
earliest,JJS
default,NN
if,IN
then,RB
Clark,NNP
J.,NNP
Vitulli,NNP
senior,JJ
general,JJ
manager,NN
marketing,NN
arm,NN
Japanese,JJ
auto,NN
maker,NN
Mazda,NNP
Motor,NNP
Corp,NNP
position,NN
oversee,VB
service,NN
operations,NNS
Previously,RB
43,CD
Chrysler,NNP
division,NN
been,VBN
executive,NN
20,CD
When,WRB
time,NN
their,PRP$
biannual,JJ
powwow,NN
nation,NN
manufacturing,NN
titans,NNS
typically,RB
jet,NN
off,IN
sunny,JJ
confines,NNS
resort,NN
towns,NNS
like,IN
Boca,NNP
Raton,NNP
Hot,NNP
Springs,NNP
Not,RB
Association,NNP
Manufacturers,NNPS
settled,VBN
Hoosier,NNP
capital,NN
Indianapolis,NNP
fall,NN
meeting,NN
And,CC
city,NN
decided,VBD
treat,VB
guests,NNS
royalty,NN
rock,NN
stars,NNS
owners,NNS
idea,NN
course,NN
:,:
prove,VB
125,CD
corporate,JJ
decision,NN
makers,NNS
buckle,VB
Rust,NNP
Belt,NNP
so,RB
rusty,JJ
good,JJ
expand,VB
On,IN
receiving,VBG
end,NN
message,NN
officials,NNS
giants,NNS
Du,NNP
Pont,NNP
Maytag,NNP
along,IN
lesser,JJR
knowns,NNS
Trojan,NNP
Steel,NNP
Valley,NNP
Queen,NNP
Cheese,NNP
Factory,NN
For,IN
starters,NNS
executives,NNS
joined,VBD
Mayor,NNP
William,NNP
H.,NNP
Hudnut,NNP
III,NNP
evening,NN
Symphony,NNP
Orchestra,NNP
guest,NN
pianist-comedian,NN
Victor,NNP
Borge,NNP
Champagne,NNP
dessert,NN
followed,VBN
morning,NN
police,NN
escort,NN
busloads,NNS
wives,NNS
raced,VBD
Speedway,NNP
unimpeded,JJ
traffic,NN
red,JJ
lights,NNS
governor,NN
could,MD
lieutenant,NN
welcomed,VBD
special,JJ
buffet,NN
breakfast,NN
held,VBN
museum,NN
food,NN
drinks,NNS
banned,VBN
everyday,JJ
visitors,NNS
Then,RB
honor,VB
speedway,NN
hauled,VBD
out,IN
four,CD
drivers,NNS
crews,NNS
official,NN
500,CD
announcer,NN
10-lap,JJ
exhibition,NN
race,NN
After,IN
Fortune,NNP
drooled,VBD
schoolboys,NNS
cars,NNS
No,DT
dummies,NNS
pointed,VBD
still,RB
space,NN
machines,NNS
another,DT
sponsor,NN
name,NN
two,CD
Back,RB
downtown,NN
execs,NNS
squeezed,VBN
meetings,NNS
hotel,NN
boarding,VBG
buses,NNS
dinner,NN
dancing,NN
block,VB
away,RB
Under,IN
moons,NNS
renovated,VBN
Indiana,NNP
Roof,NNP
ballroom,NN
nine,CD
hottest,JJS
chefs,NNS
town,NN
fed,VBN
them,PRP
duckling,NN
mousseline,NN
lobster,NN
consomme,NN
veal,NN
mignon,NN
chocolate,NN
terrine,NN
raspberry,NN
sauce,NN
Knowing,VBG
tasty,JJ
free,JJ
meal,NN
when,WRB
eat,VB
gave,VBD
standing,NN
ovation,NN
CEOs,NNS
say,VBP
red-carpet,JJ
treatment,NN
tempts,VBZ
return,NN
heartland,NN
future,JJ
looking,VBG
forward,RB
winter,NN
February,NNP
South,NNP
Korea,NNP
registered,VBN
trade,NN
deficit,NN
101,CD
October,NNP
reflecting,VBG
country,NN
economic,JJ
sluggishness,NN
figures,NNS
released,VBN
Wednesday,NNP
Preliminary,JJ
tallies,NNS
Trade,NNP
Industry,NNP
Ministry,NNP
showed,VBD
fifth,JJ
monthly,JJ
setback,NN
casting,VBG
cloud,NN
export-oriented,JJ
economy,NN
Exports,NNS
stood,VBD
5.29,CD
mere,JJ
0.7,CD
increase,NN
while,IN
imports,NNS
increased,VBD
sharply,RB
5.39,CD
last,JJ
boom,NN
began,VBD
1986,CD
prolonged,VBN
labor,NN
disputes,NNS
conflicts,NNS
sluggish,JJ
exports,NNS
Government,NNP
would,MD
remain,VB
target,NN
68,CD
gloomy,JJ
forecast,NN
recorded,VBN
surplus,NN
71,CD
January,NNP
accumulated,VBN
4,CD
same,JJ
50.45,CD
Imports,NNS
50.38,CD
19,CD
Newsweek,NNP
trying,VBG
keep,VB
pace,NN
rival,JJ
Time,NNP
magazine,NN
announced,VBD
advertising,NN
1990,CD
introduce,VB
incentive,NN
plan,NN
advertisers,NNS
ad,NN
Washington,NNP
Post,NNP
second,JJ
offered,VBN
Plans,NNS
give,VB
discounts,NNS
maintaining,VBG
increasing,VBG
spending,NN
become,VB
permanent,JJ
fixtures,NNS
news,NN
weeklies,NNS
underscore,VBP
fierce,JJ
competition,NN
between,IN
Warner,NNP
Mortimer,NNP
B.,NNP
Zuckerman,NNP
News,NNP
World,NNP
Alan,NNP
Spoon,NNP
5,CD
full,JJ
four-color,JJ
page,NN
cost,NN
"100,980",CD
mid-October,NNP
lowered,VBD
guaranteed,VBN
circulation,NN
base,NN
not,RB
lower,JJR
effectively,RB
7.5,CD
per,IN
subscriber,NN
costs,NNS
"120,000",CD
yet,RB
announce,VB
Circulation,NNP
Credit,NNP
Plan,NNP
awards,NNS
credits,NNS
renewal,NN
reward,NN
bonuses,NNS
meet,VB
exceed,VB
1989,CD
long,JJ
spent,VBD
"325,000",CD
"340,000",CD
attempt,NN
shore,VB
decline,NN
pages,NNS
first,JJ
months,NNS
totaled,VBD
"1,620",CD
drop,NN
3.2,CD
Publishers,NNPS
Information,NNP
Bureau,NNP
What,WP
matters,NNS
what,WP
paying,VBG
department,NN
we,PRP
doing,VBG
fine,NN
Both,DT
gaining,VBG
without,IN
heavy,JJ
use,NN
electronic,JJ
giveaways,NNS
subscribers,NNS
telephones,NNS
watches,NNS
However,RB
none,NN
big,JJ
gains,NNS
According,VBG
Audit,NNP
Circulations,NNP
largest,JJS
newsweekly,RB
"4,393,237",CD
decrease,VB
7.3,CD
six,CD
"3,288,453",CD
flat,JJ
"2,303,328",CD
2.6,CD
Electric,NNP
System,NNP
bowed,VBD
bidding,NN
Public,NNP
Service,NNP
Hampshire,NNP
saying,VBG
risks,NNS
too,RB
potential,JJ
payoff,NN
justify,VB
offer,NN
move,NN
leaves,VBZ
United,NNP
Illuminating,NNP
Northeast,NNP
Utilities,NNPS
outside,IN
bidders,NNS
PS,NNP
also,RB
proposed,VBN
internal,JJ
reorganization,NN
Chapter,NN
11,CD
bankruptcy,NN
proceedings,NNS
independent,JJ
Westborough,NNP
2,CD
acquire,VB
below,IN
2.29,CD
value,NN
places,NNS
bid,NN
2.25,CD
says,VBZ
worth,JJ
Haven,NNP
Conn.,NNP
Hartford,NNP
Conn,NNP
Manchester,NNP
N.H.,NNP
values,NNS
2.2,CD
John,NNP
Rowe,NNP
chief,JJ
officer,NN
equity,NN
suffer,VB
forecasts,NNS
related,VBN
growth,NN
electricity,NN
demand,NN
improved,VBN
operating,VBG
efficiencies,NNS
did,VBD
come,VB
true,JJ
evaluated,VBN
raising,VBG
seemed,VBD
substantial,JJ
persistent,JJ
rewards,NNS
way,NN
That,DT
got,VBD
hard,JJ
take,VB
added,VBD
noted,VBD
political,JJ
concerns,NNS
worried,VBN
matter,NN
owns,VBZ
emerges,VBZ
attracts,VBZ
...,:
just,RB
factors,NNS
withdraw,VB
Wilbur,NNP
Ross,NNP
Jr.,NNP
Rothschild,NNP
financial,JJ
adviser,NN
troubled,JJ
holders,NNS
withdrawal,NN
might,MD
speed,NN
fact,NN
increases,NNS
4.8,CD
against,IN
around,IN
5.5,CD
complicated,VBN
negotiations,NNS
state,NN
asserted,VBD
Now,RB
field,NN
less,JJR
cluttered,VBN
Separately,RB
Federal,NNP
Regulatory,NNP
Commission,NNP
turned,VBD
request,NN
seeking,VBG
possible,JJ
purchase,NN
refile,VB
hopes,VBZ
expedited,VBN
review,NN
FERC,NNP
summer,NN
court,NN
shares,NNS
closed,VBD
yesterday,NN
3.75,CD
25,CD
cents,NNS
York,NNP
Stock,NNP
Exchange,NNP
composite,JJ
trading,NN
Norman,NNP
Ricken,NNP
52,CD
Toys,NNPS
R,NN
Us,NNP
Frederick,NNP
Deane,NNP
63,CD
Signet,NNP
Banking,NNP
directors,NNS
consumer,NN
electronics,NNS
appliances,NNS
retailing,NN
chain,NN
They,PRP
succeed,VB
Daniel,NNP
M.,NNP
Rexinger,NNP
retired,VBD
Circuit,NNP
City,NNP
Robert,NNP
R.,NNP
Glauber,NNP
undersecretary,NN
12-member,JJ
Commonwealth,NNP
Edison,NNP
ordered,VBN
refund,NN
250,CD
ratepayers,NNS
illegal,JJ
collected,VBN
overruns,NNS
nuclear,JJ
power,NN
previously,RB
Illinois,NNP
Commerce,NNP
groups,NNS
ever,RB
required,VBN
local,JJ
utility,NN
State,NNP
Judge,NNP
Richard,NNP
Curry,NNP
refunds,NNS
45,CD
50,CD
each,DT
customers,NNS
received,VBD
electric,JJ
April,NNP
moved,VBD
begin,VB
Feb.,NNP
1,CD
entertain,VB
appeals,NNS
attempts,NNS
his,PRP$
order,NN
pool,NN
hostage,NN
through,IN
round,NN
already,RB
appealing,VBG
underlying,VBG
commission,NN
considering,VBG
exact,JJ
amount,NN
determined,VBN
actual,JJ
collections,NNS
Dec.,NNP
31,CD
ruling,NN
slash,VB
earnings,NNS
1.55,CD
1988,CD
737.5,CD
3.01,CD
spokesman,NN
tracking,VBG
whose,WP$
addresses,NNS
changed,VBN
past,JJ
3,CD
1\/2,CD
administrative,JJ
nightmare,NN
38.375,CD
12.5,CD
2.5,CD
Byron,NNP
near,IN
Rockford,NNP
Ill.,NNP
1985,CD
disputed,VBN
49,CD
pay,VB
courts,NNS
upheld,VBD
challenge,NN
Supreme,NNP
Court,NNP
audit,NN
construction,NN
expenses,NNS
unreasonable,JJ
collecting,VBG
subject,JJ
ruled,VBD
190,CD
195,CD
refunded,VBN
plus,CC
additional,JJ
calculations,NNS
Last,JJ
month,NN
set,VBN
faces,VBZ
court-ordered,JJ
summer\/winter,JJ
differential,NN
Appellate,NNP
estimated,VBN
140,CD
hope,NN
precedent,NN
case,NN
involving,VBG
Braidwood,NNP
245,CD
rule,NN
72.7,CD
poor,JJ
performance,NN
LaSalle,NNP
I,PRP
Japan,NNP
domestic,JJ
trucks,NNS
"500,004",CD
units,NNS
record,NN
Automobile,NNP
Dealers,NNS
strong,JJ
year-to-year,JJ
21,CD
12,CD
September,NNP
setting,VBG
records,NNS
every,DT
March,NNP
compared,VBN
previous,JJ
inched,VBD
0.4,CD
Sales,NNS
passenger,NN
22,CD
"361,376",CD
medium-sized,JJ
benefited,VBD
price,NN
reductions,NNS
arising,VBG
introduction,NN
consumption,NN
tax,NN
doubled,VBD
"30,841",CD
"13,056",CD
Texas,NNP
Instruments,NNP
opened,VBD
manufacture,VB
control,NN
devices,NNS
located,VBN
Chinchon,NNP
60,CD
miles,NNS
Seoul,NNP
help,VB
diversifying,VBG
produce,VB
motor,NN
vehicles,NNS
household,NN
survival,NN
spinoff,NN
Cray,NNP
Computer,NNP
fledgling,NN
supercomputer,NN
business,NN
depend,VB
creativity,NN
longevity,NN
designer,NN
Seymour,NNP
development,NN
initial,JJ
machine,NN
tied,VBN
directly,RB
balance,NN
sheet,NN
Documents,NNS
filed,VBN
Securities,NNPS
pending,VBG
disclosed,VBN
Research,NNP
100,CD
financing,NN
providing,VBG
firm,NN
product-design,JJ
project,NN
heads,VBZ
scrapped,VBN
documents,NNS
although,IN
64-year-old,JJ
working,VBG
Cray-3,NNP
least,JJS
fully,RB
operational,JJ
prototype,NN
Moreover,RB
there,EX
orders,NNS
several,JJ
prospects,NNS
While,IN
many,JJ
anticipated,VBN
Minneapolis-based,JJ
May,NNP
strings,NNS
attached,VBN
public,JJ
much,JJ
choice,NN
Gregory,NNP
Barnum,NNP
interview,NN
theory,NN
him,PRP
want,VBP
include,VBP
anticipates,VBZ
needing,VBG
perhaps,RB
120,CD
beginning,VBG
called,VBN
worst-case,JJ
scenario,NN
filing,NN
details,NNS
stock,NN
jump,NN
2.875,CD
close,VB
38,CD
Analysts,NNS
link,NN
98.3,CD
promissory,JJ
note,NN
presence,NN
complicate,VB
valuation,NN
investor,NN
Gary,NNP
P.,NNP
Smaby,NNP
Group,NNP
Minneapolis,NNP
concept,NN
You,PRP
either,DT
believe,VBP
do,VBP
Besides,IN
age,NN
tricky,JJ
unproven,JJ
chip,NN
technology,NN
SEC,NNP
describe,VB
chips,NNS
gallium,NN
arsenide,NN
being,VBG
fragile,JJ
minute,NN
require,VB
robotic,JJ
handling,VBG
equipment,NN
addition,NN
contain,VB
16,CD
processors,NNS
twice,RB
face,NN
intense,JJ
world-wide,JJ
roll,NN
C-90,NN
direct,JJ
competitor,NN
1991,CD
compete,VB
Business,NNP
Machines,NNPS
Big,NNP
Three,CD
Hitachi,NNP
NEC,NNP
Fujitsu,NNP
Ltd,NNP
believes,VBZ
fewer,JJR
supercomputers,NNS
priced,VBN
15,CD
presumably,RB
range,NN
terms,NNS
stockholders,NNS
receive,VB
own,JJ
distribution,NN
occur,VB
weeks,NNS
Instead,RB
companies,NNS
leave,VB
marketplace,NN
decide,VB
applied,VBN
Nasdaq,NNP
calculate,VB
book,NN
4.75,CD
Along,IN
transferring,VBG
53,CD
assets,NNS
primarily,RB
drain,NN
Pro-forma,JJ
sheets,NNS
clearly,RB
why,WRB
favored,VBN
Without,IN
able,JJ
report,NN
profit,NN
19.3,CD
half,NN
rather,RB
5.9,CD
posted,VBD
hand,NN
existed,VBD
incurred,VBN
20.5,CD
loss,NN
comment,VB
Colorado,NNP
Colo.,NNP
contractor,NN
arrangement,NN
Regarded,VBN
father,NN
paid,VBN
"600,000",CD
At,IN
"240,000",CD
Messrs.,NNP
includes,VBZ
Neil,NNP
Davenport,NNP
47,CD
Joseph,NNP
Blanchard,NNP
37,CD
Malcolm,NNP
Hammerton,NNP
40,CD
software,NN
Douglas,NNP
Wheeland,NNP
hardware,NN
All,DT
came,VBD
241,CD
450,CD
Stevens,NNP
both,DT
positions,NNS
Donald,NNP
Pardus,NNP
electric-utility,NN
Arthur,NNP
Hatch,NNP
59,CD
Eastern,NNP
Carney,NNP
Tassinari,NNP
claiming,VBG
success,NN
diplomacy,NN
removed,VBN
Taiwan,NNP
Saudi,NNP
Arabia,NNP
list,NN
watching,VBG
allegedly,RB
failing,VBG
patents,NNS
copyrights,NNS
intellectual-property,JJ
rights,NNS
China,NNP
Thailand,NNP
India,NNP
Brazil,NNP
Mexico,NNP
so-called,JJ
priority,NN
result,NN
interim,JJ
Representative,NNP
Carla,NNP
Hills,NNP
law,NN
accelerated,VBD
unfair-trade,JJ
investigations,NNS
stiff,JJ
sanctions,NNS
improve,VB
protection,NN
intellectual,JJ
property,NN
spring,NN
Mrs.,NNP
she,PRP
placed,VBN
varying,VBG
degrees,NNS
scrutiny,NN
genuine,JJ
progress,NN
touchy,JJ
She,PRP
growing,VBG
realization,NN
world,NN
denial,NN
harms,VBZ
inventiveness,NN
{,(
offending,VBG
},)
citizens,NNS
negotiators,NNS
inadequate,JJ
protections,NNS
hurting,VBG
themselves,PRP
discouraging,VBG
scientists,NNS
authors,NNS
deterring,VBG
high-technology,NN
firms,NNS
investing,VBG
best,JJS
lauded,VBD
creating,VBG
task,NN
enforcement,NN
teams,NNS
officers,NNS
prosecutors,NNS
trained,VBN
pursue,VB
movie,NN
pirates,NNS
instituted,VBN
effective,JJ
search-and-seizure,JJ
procedures,NNS
aid,NN
initialing,VBG
bilateral,JJ
copyright,NN
agreement,NN
amending,VBG
trademark,NN
introducing,VBG
legislation,NN
protect,VB
foreign,JJ
producers,NNS
unauthorized,JJ
showings,NNS
films,NNS
measure,NN
compel,VB
Taipei,NNP
small,JJ
video-viewing,JJ
parlors,NNS
showing,VBG
part,NN
vowed,VBD
enact,VB
compatible,JJ
international,JJ
standards,NNS
apply,VB
computer,NN
literary,JJ
works,VBZ
These,DT
completely,RB
hook,NN
lower-priority,JJ
17,CD
Those,DT
Italy,NNP
Canada,NNP
Greece,NNP
Spain,NNP
concern,NN
deemed,VBN
pose,VB
less-serious,JJ
problems,NNS
American,NNP
patent,NN
Hoffman,NNP
lawyer,NN
specializing,VBG
cases,NNS
threat,NN
retaliation,NN
combined,VBN
recognition,NN
protecting,VBG
prompted,VBD
improvements,NNS
tells,VBZ
efforts,NNS
craft,NN
concerned,VBN
disturbing,JJ
developments,NNS
Turkey,NNP
continuing,VBG
slow,JJ
Malaysia,NNP
elaborate,VB
reports,NNS
complained,VBD
videocassette,NN
piracy,NN
disregard,NN
pharmaceutical,JJ
requires,VBZ
So,RB
bad,JJ
enough,RB
merit,NN
investigation,NN
301,CD
provision,NN
Argentina,NNP
ask,VB
creditor,NN
banks,NNS
halve,VB
64,CD
third-highest,JJS
developing,VBG
declaration,NN
Economy,NNP
Minister,NNP
Nestor,NNP
Rapanelli,NNP
believed,VBN
action,NN
Argentine,JJ
stature,NN
Latin,NNP
little,JJ
aspires,VBZ
reach,VB
reduction,NN
external,JJ
Miguel,NNP
Alurralde,NNP
met,VBD
Assistant,NNP
Secretary,NNP
David,NNP
Mulford,NNP
negotiator,NN
Carlos,NNP
Carballo,NNP
President,NNP
Menem,NNP
office,NN
8,CD
feels,VBZ
significant,JJ
principal,JJ
solved,VBN
wants,VBZ
forgiven,VBN
(,(
During,IN
centennial,NN
Wall,NNP
Street,NNP
century,NN
stand,VBP
milestones,NNS
history,NN
),)
THREE,CD
COMPUTERS,NNS
THAT,WDT
CHANGED,VBD
personal,JJ
computing,NN
launched,VBN
1977,CD
Apple,NNP
II,NNP
Commodore,NNP
Pet,NNP
Tandy,NNP
TRS-80,NNP
computers,NNS
crude,JJ
television,NN
sets,NNS
screens,NNS
stored,VBD
data,NNS
audiocassettes,NNS
major,JJ
advance,NN
built,VBN
garage,NN
Stephen,NNP
Wozniak,NNP
Steven,NNP
Jobs,NNP
hobbyists,NNS
Homebrew,NNP
Club,NNP
affordable,JJ
"1,298",CD
Crude,JJ
PCs,NNS
triggered,VBN
explosive,JJ
product,NN
desktop,NN
models,NNS
home,NN
mainframe,NN
unlike,IN
built-from-kit,JJ
types,NNS
Altair,NNP
Sol,NNP
IMSAI,NNP
keyboards,NNS
store,NN
memories,NNS
Current,JJ
faster,RBR
memory,NN
capacity,NN
greater,JJR
counterparts,NNS
pioneer,NN
PC,NN
contributors,NNS
Gates,NNP
Paul,NNP
Allen,NNP
1975,CD
developed,VBN
language-housekeeper,JJ
system,NN
became,VBD
billionaire,NN
IBM,NNP
adapted,VBN
versions,NNS
1981,CD
F.,NNP
Shugart,NNP
Seagate,NNP
Technology,NNP
disk,NN
drives,NNS
Dennis,NNP
Hayes,NNP
Dale,NNP
Heatherington,NNP
Atlanta,NNP
engineers,NNS
co-developers,NNS
modems,NNS
allow,VB
via,IN
telephone,NN
leader,NN
entered,VBD
Today,NN
shipments,NNS
annually,RB
38.3,CD
F.H.,NNP
Faulding,NNP
Australian,JJ
pharmaceuticals,NNS
Moleculon,NNP
affiliate,NN
acquired,VBN
Kalipharma,NNP
23,CD
Jersey-based,JJ
sells,VBZ
Purepac,NNP
label,NN
voting,NN
stake,NN
together,RB
convertible,JJ
preferred,JJ
holdings,NNS
gives,VBZ
right,NN
70,CD
Oil,NNP
production,NN
Australia,NNP
Bass,NNP
Strait,NNP
fields,NNS
